name,quadrant,ring,isNew,description,References
Implementing a thin slice,Delivery,Start doing,TRUE,<p>By focusing on thin vertical slices the customer can see small incremental improvements rather than a new shiny product  at the delivery date</p>,
Move towards full stack teams,Delivery,Do more,TRUE,<p>Provides the skills and ability needed to meet the definition of done for any incremental features of a product</p>,
Retrospectives (focused),Delivery,Do more,TRUE,<p>Retrospectives offer a insight into what went well and what could have been improved from the last sprint. They also offer a qualitative metric of the teams' happiness and capability</p>,
Cross Functional Requirements Measurements and Metrics,Technology,Do more,TRUE,"<p>Are you measuring your key requirements and if so, how relevant are those measurements?</p>",
Product Mode,Delivery,Start doing,TRUE,"<p>Switching to a product mode for Mobius allows for autonomous, loosley coupled teams that are able to 1. Ability to reorient quickly, 2. Reduced end-to-end cycle time, 3. Ability to truly iterate, 4. Respond rapidly to articulated and unarticulated user needs.</p>",https://www.martinfowler.com/articles/products-over-projects.html
Automated testing by devs,Technology,Do more,TRUE,"<p>Automated testing, most commonly found as unit tests, save time in numerous ways. By providing an objective definition of how a function should behave they reduce confusion and improve extensibility, while also giving confidence at commit time that a developer's work does what they think it does and preventing trivial errors from being returned to them to fix much later in the release cycle. 
It's obvious that testing all changes manually is time-consuming, repetitive and tedious. Repetitive is boring, boring leads to mistakes and makes you look for a different job by the end of the week.
Automating your repetitive tests can be a big game changer in your life as a software developer. Automate these tests and you no longer have to mindlessly follow click protocols in order to check if your software still works correctly. Automate your tests and you can change your codebase without batting an eye. If you've ever tried doing a large-scale refactoring without a proper test suite I bet you know what a terrifying experience this can be. How would you know if you accidentally broke stuff along the way? Well, you click through all your manual test cases, that's how. But let's be honest: do you really enjoy that? How about making even large-scale changes and knowing whether you broke stuff within seconds while taking a nice sip of coffee? Sounds more enjoyable if you ask me.
<a href=""https://martinfowler.com/articles/practical-test-pyramid.html"">The Practical Test Pyramid</a></p>",https://martinfowler.com/articles/practical-test-pyramid.html
Identify your key Cross Functional Requirements ,Technology,Do more,TRUE,"<p>Identify which Cross Functional Requirements apply to Mobius, along with their impact and priority. There are 3 ways in which these can be identified 
1. CFRs satisfied via user stories and acceptance criteria 
2. CFRs satisfied through architectural design
3. CFRs satisfied via the development process
<a href=""https://www.thekua.com/atwork/2017/05/three-ways-to-handle-cfrs/"">Three ways to handle CFRs</a></p>",https://www.thekua.com/atwork/2017/05/three-ways-to-handle-cfrs
Build Pipeline automation,Technology,Doing well,TRUE,"<p>One of the challenges of an automated build is you want your build to be fast, so that you can get fast feedback. A build pipeline is a way to deal with this by breaking up your build into stages. Each stage provides increasing confidence, usually at the cost of extra time. Early stages can find most problems yielding faster feedback, while later stages provide slower and more through probing.
<a href=""https://www.martinfowler.com/bliki/DeploymentPipeline.html"">Deployment Pipeline</a></p>",https://www.martinfowler.com/bliki/DeploymentPipeline.html
Decision to start Mobius APIs,Leadership,Doing well,TRUE,<p>Great decision to start the Mobius journey there is no better way than breaking up a monolith by splitting out functionality and features.</p>,
Proactive attempts to fix structures/procedures,Leadership,Doing well,TRUE,,
